1,"Vēsturisks ādas maks","Klasisks brūns ādas maks ar vairākām karšu vietām","2026-03-10 08:30:00","2026-03-15 14:22:00",45.99,12,"flat_rate",5.00,"like new","accessories",
2,"Bezvadu Bluetooth austiņas","Augstākās klases trokšņa slāpēšanas austiņas ar 30 stundu bateriju","2026-03-12 10:15:00","2026-03-14 09:45:00",126.50,5,"calculated",8.00,"new","electronics",
3,"Bioloģisks kokvilnas T-krekls","100% bioloģisks kokvilnas ērts ikdienas krekls, pieejams dažādos izmēros","2026-03-08 16:20:00","2026-03-13 11:30:00",24.99,28,"flat_rate",4.50,"new","clothing",
4,"Nerūsējošā tērauda kafijas paņemtuve","12 glāžu tilpums ar programmējamu taimeri un stikla dekantēju","2026-03-11 12:45:00","2026-03-15 16:10:00",79.95,8,"flat_rate",7.50,"new","kitchen",
5,"Grāmata ar cietiem vākiem un daiļliteratūru","Balvā atzīta bestselleru grāmata ar putnu skaičiem","2026-03-09 09:00:00","2026-03-12 14:55:00",18.99,35,"flat_rate",3.00,"like new","books",
6,"Jogas paklājs ar pārneses siksniņu","Neslīdīgs 6mm biezs ekoloģisks dabīgā kaučuka jogas paklājs","2026-03-13 14:30:00","2026-03-15 10:20:00",32.50,15,"flat_rate",6.50,"new","fitness",
7,"LED galda lampa ar USB uzlādi","Modernas acu aprūpes lampa ar regulējamu spilgtumu un krāsu temperatūru","2026-03-07 11:00:00","2026-03-14 13:45:00",42.99,10,"calculated",6.00,"new","home",
8,"Nerūsējošā tērauda ūdens pudele","Siltumizolēta 32oz pudele notur dzērienus aukstus 24 stundas","2026-03-12 15:20:00","2026-03-15 12:00:00",35.99,20,"flat_rate",5.50,"new","accessories",
9,"Viedtālruņa ekrāna aizsargs pakā","3 stiprināta stikla aizsargu komplekts jaunākajai iPhone modelim","2026-03-14 08:45:00","2026-03-15 09:30:00",12.99,50,"flat_rate",2.50,"new","electronics",
10,"Bambusu griešanas dēļu komplekts","3 dažādu izmēru griešanas dēļu komplekts no ilgtspējīga bambusa","2026-03-10 13:15:00","2026-03-13 16:40:00",28.50,18,"flat_rate",6.00,"new","kitchen",
11,"Bezvadu tālruņa lādētājs","Ārts 15W uzlādes palikts, savienojams ar visiem Qi iespējotiem ierīcēm","2026-03-11 09:30:00","2026-03-15 11:25:00",19.99,25,"calculated",4.50,"new","electronics",
12,"Profesionāls matu aprūpes komplekts","Šampūna un kondicioniera komplekts ar dabīgiem sastāvdaļām","2026-03-09 10:20:00","2026-03-12 15:30:00",34.95,12,"flat_rate",5.00,"new","beauty",
13,"Vēsturisks zīda šalle","Ar rokām gleznota itāļu zīda šalle ar unikāliem rakstiem","2026-03-12 16:50:00","2026-03-14 12:15:00",55.00,4,"calculated",7.50,"like new","accessories",
14,"Ergonomiski spēļu pele","Augsta precizitāte 16000 DPI ar pielāgojamām pogām","2026-03-13 11:40:00","2026-03-15 08:55:00",59.99,14,"calculated",5.50,"new","electronics",
15,"Dabīgi bišu vaska sveces","4 tīras bišu vaska sveces ar patīkamu medus aromātu","2026-03-08 14:25:00","2026-03-13 10:30:00",29.99,22,"flat_rate",5.00,"new","home",
16,"Minimālistisks sienas pulkstenis","Elegants melns sienas pulkstenis ar klusu kvarca kustību","2026-03-10 17:10:00","2026-03-14 09:20:00",38.50,9,"flat_rate",6.00,"new","home",
17,"Pārnēsājams powerbank 20000mAh","Lielas tilpības powerbank ar diviem USB portiem","2026-03-11 12:05:00","2026-03-15 14:40:00",29.99,31,"flat_rate",4.50,"new","electronics",
18,"Skaists bambusa zeķu komplekts","6 pāru ekoloģisku bambusa zeķu komplekts","2026-03-09 08:30:00","2026-03-12 11:15:00",24.99,40,"flat_rate",3.50,"new","clothing",
19,"Nerūsējošā tērauda virtuves nazis komplekts","Profesionāls pavāra komplekts ar 5 būtiskām nažiem","2026-03-12 10:45:00","2026-03-14 15:30:00",89.99,6,"calculated",8.50,"new","kitchen",
20,"Abstrakta mākslas prints","Ierobežota izdevuma digitāla mākslas prints 16x20 collas","2026-03-07 15:20:00","2026-03-13 12:40:00",42.99,8,"flat_rate",6.50,"new","art",
21,"Mehāniskā klaviatūra RGB","Kompakta 87 taustiņu spēļu klaviatūra ar Cherry MX slēdžiem","2026-03-14 09:15:00","2026-03-15 13:50:00",119.99,7,"calculated",7.00,"new","electronics",
22,"Bioloģisks augu tējas komplekts","Jaukti 24 tējas maisiņi no augstākās klases avoiem visā pasaulē","2026-03-10 11:30:00","2026-03-13 14:20:00",18.50,45,"flat_rate",3.50,"new","food",
23,"Vēsturisks džinsa jaka","Perfekti valkāta klasiska zila džinsa jaka izmērs M","2026-03-11 14:15:00","2026-03-15 16:05:00",67.50,3,"calculated",7.50,"good","clothing",
24,"Ciparu fotobildīte 10 collas","Elektroniskā fotobildīte ar 32GB krātuvi un WiFi","2026-03-13 16:45:00","2026-03-15 10:10:00",75.99,5,"calculated",8.00,"new","electronics",
25,"Rokas darbs kerāmikas krūze","Mākslinieciska kerāmikas krūze ar unikālu glazūras pabeigumu","2026-03-08 12:00:00","2026-03-12 16:50:00",16.99,28,"flat_rate",4.00,"new","home",
26,"Universāls tālruņa statīvs","Regulējams statīvs tālruņiem un planšetdatoriem","2026-03-12 09:25:00","2026-03-15 12:30:00",14.99,33,"flat_rate",3.50,"new","electronics",
27,"Ādas žurnāla piezīmju grāmata","Skaista ādas iesēguma žurnāls ar 200 tukšām lapām","2026-03-09 13:40:00","2026-03-13 09:55:00",31.99,17,"flat_rate",5.50,"new","stationery",
28,"Kompresijas sporta zeķes","3 pāru augstas veiktspējas kompresijas zeķes","2026-03-11 08:50:00","2026-03-14 13:15:00",22.99,36,"flat_rate",3.50,"new","fitness",
29,"Tērauda pretestības lentes komplekts","5 dažādu pretestības līmeņu komplekts trenažiemam","2026-03-10 15:35:00","2026-03-13 11:45:00",27.99,19,"flat_rate",5.00,"new","fitness",
30,"Polaroid stila tūlītējā kamera","Jautra retro kamera tūlītējām printētām fotogrāfijām","2026-03-13 10:20:00","2026-03-15 14:25:00",68.99,6,"calculated",7.50,"new","electronics",
31,"Bioloģisks sejas mitrinātājs","Hipoalerģisks mitrinātājs jūtīgai ādai","2026-03-08 16:15:00","2026-03-12 13:30:00",38.99,14,"flat_rate",4.50,"new","beauty",
32,"Nerūsējošā tērauda termopohs","Vakuuma izolēts 40oz notur dzērienus karstus 12 stundas","2026-03-12 11:50:00","2026-03-14 10:40:00",41.50,11,"flat_rate",6.00,"new","accessories",
33,"Minimālistisks audekla mugursomatiņš","Stilīgs pilsētas mugursomatiņš ar klēpjdatora nodalījumu","2026-03-09 10:15:00","2026-03-13 15:20:00",52.99,8,"calculated",6.50,"new","accessories",
34,"SmartHome LED spuldžu komplekts","2 WiFi iespējotu krāsas maiņas viedas spuldzes","2026-03-14 13:45:00","2026-03-15 09:50:00",31.99,22,"calculated",4.50,"new","electronics",
35,"Meditācijas spilvens","Griķu graudu piepildīta meditācijas spilvens ērtai sēdēšanai","2026-03-10 09:40:00","2026-03-13 12:55:00",45.99,9,"flat_rate",6.50,"new","fitness",
36,"Ūdenskritu gleznošanas komplekts","Profesionālas klases komplekts ar 36 spilgtiem krāsām","2026-03-11 14:30:00","2026-03-15 11:20:00",54.99,11,"flat_rate",6.50,"new","art",
37,"USB-C uzlādes kabeļu komplekts","3 izturīgu USB-C kabeļu 6 pēdu garuma komplekts","2026-03-13 08:20:00","2026-03-15 13:45:00",15.99,52,"flat_rate",3.00,"new","electronics",
38,"Dabīgs koka griešanas dēlis","Liels masīvs koks griešanas un pasniegšanas dēlis","2026-03-08 11:05:00","2026-03-12 14:10:00",35.50,13,"flat_rate",6.00,"new","kitchen",
39,"Skaistas sejas lapas maskas","Kastes ar 10 mitrināšanas sejas lapas maskām","2026-03-12 15:10:00","2026-03-14 11:35:00",22.99,26,"flat_rate",4.50,"new","beauty",
40,"Bluetooth pārnēsājamais skaļrunis","Ūdensizturīgs skaļrunis ar 12 stundu bateriju","2026-03-09 12:45:00","2026-03-13 16:20:00",49.99,16,"calculated",6.00,"new","electronics",
41,"Vilnas ziemas cepure","Mīksts merīno vilnas cepure dažādās krāsās","2026-03-10 16:25:00","2026-03-14 12:40:00",28.99,19,"flat_rate",4.50,"new","clothing",
42,"Moderns galda organizators","Daudzdalīju koka galda organizators","2026-03-11 10:30:00","2026-03-15 10:15:00",32.50,14,"flat_rate",5.50,"new","home",
43,"Bambusa zobu birsti komplekts","Ekoloģisks 5 biodegradējamu zobu birstu komplekts","2026-03-13 12:15:00","2026-03-15 08:10:00",12.99,47,"flat_rate",3.00,"new","beauty",
44,"Nerūsējošā tērauda tējas infuzors","Atkārtoti lietojams vaļējo lapu tējas infuzors ar roktuري","2026-03-08 13:50:00","2026-03-12 16:05:00",14.99,31,"flat_rate",3.50,"new","kitchen",
45,"Regulējams klēpjdatora statīvs","Ergonomiski alumīnija klēpjdatora statīvs jebkuram izmēram","2026-03-12 14:20:00","2026-03-15 12:45:00",39.99,10,"calculated",5.50,"new","electronics",
46,"Skaists dāvanu grozs","Kurēts luksusa dāvanu grozs ar gourmet produktiem","2026-03-09 15:40:00","2026-03-13 10:25:00",84.99,4,"calculated",9.00,"new","gifts",
47,"Dabīgas vilnas zeķes","Termisku vilnas zeķes ideālas aukstajam laikam","2026-03-14 09:50:00","2026-03-15 14:15:00",18.99,35,"flat_rate",4.00,"new","clothing",
48,"LED gredzena apgaismojums","10 collas LED gredzena apgaismojums ar statīvu","2026-03-10 12:35:00","2026-03-13 14:50:00",34.99,12,"calculated",6.50,"new","electronics",
49,"Ādas tālruņa vāciņš","Skaists ādas aizsardzības vāciņš ar karšu vietām","2026-03-11 16:10:00","2026-03-14 09:30:00",29.99,18,"flat_rate",5.00,"new","accessories",
50,"Bioloģisks zaļā tēja","Skaista vaļējo lapu zaļā tēja 100g kannas","2026-03-13 10:05:00","2026-03-15 11:50:00",16.99,41,"flat_rate",3.50,"new","food",